13:52:16 INFO  application.AppManager - Start in browser CHROME
13:52:19 INFO  tests.TestBase - Start method  --> NegativeAddSameContact
13:52:19 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
13:52:30 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
13:52:30 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
13:52:30 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
13:52:30 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
13:52:30 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
13:52:30 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
13:52:30 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
13:52:30 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
13:52:30 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
13:52:30 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='ADD']
13:52:31 INFO  application.MyListener - The element -->By.xpath: //*[.='ADD']was found
13:52:32 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
13:52:32 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
13:52:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
13:52:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
13:52:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
13:52:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
13:52:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
13:52:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
13:52:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
13:52:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
13:52:33 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
13:52:33 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
13:52:33 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
13:52:33 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
13:52:33 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
13:52:33 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
