13:48:53 INFO  application.AppManager - Start in browser CHROME
13:48:56 INFO  tests.TestBase - Start method  --> NegativeAddSameContact
13:48:56 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
13:49:06 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
13:49:06 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
13:49:06 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
13:49:07 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
13:49:07 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
13:49:08 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
13:49:08 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
13:49:08 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
13:49:08 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
13:49:08 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='ADD']
13:49:09 INFO  application.MyListener - The element -->By.xpath: //*[.='ADD']was found
13:49:09 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
13:49:09 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
13:49:09 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
13:49:09 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
13:49:10 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
13:49:10 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
13:49:10 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
13:49:10 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
13:49:10 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
13:49:10 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
13:49:10 INFO  application.MyListener - Start find element by -->By.xpath: //h3
13:49:11 INFO  application.MyListener - The element -->By.xpath: //h3was found
13:49:11 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
13:49:11 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
13:49:11 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
13:49:11 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
13:49:11 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
13:49:11 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
13:49:11 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
13:49:11 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
13:49:11 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
13:49:11 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
13:49:12 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
13:49:12 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
13:49:12 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
13:49:12 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
13:49:12 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
13:49:12 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
13:49:12 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
13:49:12 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
13:49:12 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
13:49:12 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
13:49:15 INFO  application.MyListener - Screen ->>src/test/screenshots/screen-2953.png
13:49:15 INFO  application.MyListener - stale element reference: element is not attached to the page document
  (Session info: chrome=92.0.4515.159)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/stale_element_reference.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'WIN-VLIAFR1P8UG', ip: '192.168.43.243', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.10'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 92.0.4515.159, chrome: {chromedriverVersion: 92.0.4515.107 (87a818b10553..., userDataDir: C:\Users\User\AppData\Local...}, goog:chromeOptions: {debuggerAddress: localhost:56543}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 38aa5cef4052dd492aaf10f261fbf2a5
13:49:15 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:15 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:15 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:15 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:15 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:15 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:15 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:15 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:15 INFO  application.MyListener - Start find element by -->By.xpath: //button[.='Remove']
13:49:15 INFO  application.MyListener - The element -->By.xpath: //button[.='Remove']was found
13:49:17 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:17 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:17 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:17 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:17 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:17 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:17 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
13:49:17 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
13:49:17 INFO  application.MyListener - Start find element by -->By.xpath: //button[.='Remove']
13:49:18 INFO  application.MyListener - The element -->By.xpath: //button[.='Remove']was found
