11:36:41 INFO  application.AppManager - Start in browser CHROME
11:36:44 INFO  tests.TestBase - Start method  --> addContactTestBase
11:36:44 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
11:36:54 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
11:36:54 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
11:36:54 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
11:36:55 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
11:36:55 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
11:36:56 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
11:36:56 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
11:36:56 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
11:36:56 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
11:36:56 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='ADD']
11:36:57 INFO  application.MyListener - The element -->By.xpath: //*[.='ADD']was found
11:36:57 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
11:36:58 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
11:36:58 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
11:36:58 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
11:36:59 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
11:36:59 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
11:36:59 INFO  application.MyListener - Start find element by -->By.xpath: //h3
11:36:59 INFO  application.MyListener - The element -->By.xpath: //h3was found
11:36:59 INFO  tests.TestBase - End of method --> addContactTestBase
11:36:59 INFO  tests.TestBase - Start method  --> addContactTestBase
11:36:59 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
11:36:59 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
11:36:59 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
11:36:59 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
11:36:59 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
11:36:59 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
11:36:59 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
11:36:59 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
11:37:00 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
11:37:00 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
11:37:00 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
11:37:00 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
11:37:00 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
11:37:00 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
11:37:00 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
11:37:00 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
11:37:00 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
11:37:00 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
11:37:00 INFO  application.MyListener - Start find element by -->By.xpath: //h3
11:37:00 INFO  application.MyListener - The element -->By.xpath: //h3was found
11:37:00 INFO  tests.TestBase - End of method --> addContactTestBase
11:37:00 INFO  tests.TestBase - Start method  --> addContactTestBase
11:37:00 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
11:37:01 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
11:37:01 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
11:37:01 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
11:37:01 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
11:37:01 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
11:37:01 INFO  application.MyListener - Start find element by -->By.xpath: //h3
11:37:02 INFO  application.MyListener - The element -->By.xpath: //h3was found
11:37:02 INFO  tests.TestBase - End of method --> addContactTestBase
11:37:02 INFO  tests.TestBase - Start method  --> addContactTestBase
11:37:02 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
11:37:02 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
11:37:02 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
11:37:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
11:37:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
11:37:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
11:37:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
11:37:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
11:37:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
11:37:03 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
11:37:03 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
11:37:03 INFO  application.MyListener - Start find element by -->By.xpath: //button/b
11:37:03 INFO  application.MyListener - The element -->By.xpath: //button/bwas found
11:37:03 INFO  application.MyListener - Start find element by -->By.xpath: //h3
11:37:03 INFO  application.MyListener - The element -->By.xpath: //h3was found
11:37:03 INFO  tests.TestBase - End of method --> addContactTestBase
11:37:03 INFO  tests.TestBase - Start method  --> addContactTestBase
11:37:03 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
11:37:03 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
