21:29:47 INFO  application.AppManager - Start in browser CHROME
21:29:50 INFO  tests.TestBase - Start method  --> NegativeAddContactWithoutEmail
21:29:50 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:30:00 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:30:00 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
21:30:00 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
21:30:00 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
21:30:00 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
21:30:00 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
21:30:00 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
21:30:00 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
21:30:00 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
21:30:00 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='ADD']
21:30:02 INFO  application.MyListener - The element -->By.xpath: //*[.='ADD']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:02 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:02 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:02 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:03 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:03 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:03 INFO  application.MyListener - Start find element by -->By.xpath: //h3
21:30:03 INFO  application.MyListener - The element -->By.xpath: //h3was found
21:30:03 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:03 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:03 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:03 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:03 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:03 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:03 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:03 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:04 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:04 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:04 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:04 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:05 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:05 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:05 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:05 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:05 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:05 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:05 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
21:30:15 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
21:30:15 INFO  tests.TestBase - End of method --> NegativeAddContactWithoutEmail
21:30:15 INFO  tests.TestBase - Start method  --> NegativeAddContactWithoutPhone
21:30:15 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:30:15 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:30:15 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:15 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:15 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:15 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:15 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:15 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:15 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:15 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:15 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:15 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:16 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:16 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:16 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:16 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:16 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:16 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:16 INFO  application.MyListener - Start find element by -->By.xpath: //h3
21:30:17 INFO  application.MyListener - The element -->By.xpath: //h3was found
21:30:17 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:17 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:17 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:17 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:17 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:18 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
21:30:28 INFO  tests.TestBase - End of method --> NegativeAddContactWithoutPhone
21:30:28 INFO  tests.TestBase - Start method  --> NegativeAddSameContact
21:30:28 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:30:28 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:28 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:28 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:28 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:28 INFO  application.MyListener - Start find element by -->By.xpath: //h3
21:30:29 INFO  application.MyListener - The element -->By.xpath: //h3was found
21:30:29 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:29 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:29 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:29 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:29 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:29 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:29 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:29 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:29 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:29 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:30 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:30 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:30 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:30 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:30 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:30 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:32 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:32 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:32 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:32 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:33 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:33 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:33 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:33 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:33 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:33 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:33 INFO  application.MyListener - Start find element by -->By.cssSelector: .contact-item_card__2SOIM
21:30:43 INFO  application.MyListener - The element -->By.cssSelector: .contact-item_card__2SOIMwas found
21:30:43 INFO  tests.TestBase - End of method --> NegativeAddSameContact
21:30:43 INFO  tests.TestBase - Start method  --> addContactTestBase
21:30:43 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:30:43 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:30:43 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:43 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:43 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:43 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:43 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:43 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
21:30:43 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Phone']
21:30:43 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Phone']was found
21:30:44 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='email']
21:30:44 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='email']was found
21:30:44 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Address']
21:30:44 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Address']was found
21:30:44 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='description']
21:30:44 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='description']was found
21:30:44 INFO  application.MyListener - Start find element by -->By.xpath: //b[.='Save']
21:30:44 INFO  application.MyListener - The element -->By.xpath: //b[.='Save']was found
21:30:44 INFO  application.MyListener - Start find element by -->By.xpath: //h3
21:30:44 INFO  application.MyListener - The element -->By.xpath: //h3was found
21:30:44 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='ADD']
21:30:45 INFO  application.MyListener - The element -->By.xpath: //a[.='ADD']was found
21:30:45 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Name']
21:30:45 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Name']was found
21:30:45 INFO  application.MyListener - Start find element by -->By.cssSelector: [placeholder='Last Name']
21:30:45 INFO  application.MyListener - The element -->By.cssSelector: [placeholder='Last Name']was found
